"item","Frequency"
"you re the best",44
"a couple of times",43
"a huge fan of",43
"a while since i",43
"an hour and a",43
"and i had to",43
"and the u s",43
"anything to do with",43
"are you talking about",43
"at the u s",43
"attorney general s office",43
"been one of the",43
"bring to a boil",43
"but there is a",43
"but you don t",43
"don t know but",43
"don t know that",43
"don t worry i",43
"for a lot of",43
"from around the world",43
"have been trying to",43
"he and his wife",43
"he didn t have",43
"how to do it",43
"i can t see",43
"i hope you re",43
"i m the only",43
"i think we can",43
"i ve been on",43
"i want to thank",43
"in charge of the",43
"in the end it",43
"it doesn t have",43
"it is not a",43
"it s better to",43
"like a lot of",43
"m going to try",43
"now i can t",43
"on both sides of",43
"on the phone with",43
"so i didn t",43
"sounds like a good",43
"take advantage of the",43
